  [n1] 10/300  wr=60.0%  7.57 s/match
  [n1] 20/300  wr=65.0%  7.94 s/match
  [n1] 30/300  wr=73.3%  7.85 s/match
  [n1] 40/300  wr=77.5%  7.78 s/match
  [n1] 50/300  wr=78.0%  7.55 s/match
  [n1] 60/300  wr=81.7%  7.48 s/match
  [n1] 70/300  wr=82.9%  7.51 s/match
  [n1] 80/300  wr=82.5%  7.47 s/match
  [n1] 90/300  wr=81.1%  7.61 s/match
  [n1] 100/300  wr=83.0%  7.64 s/match
  [n1] 110/300  wr=83.6%  7.82 s/match
  [n1] 120/300  wr=82.5%  8.21 s/match
  [n1] 130/300  wr=83.1%  8.18 s/match
  [n1] 140/300  wr=82.9%  8.33 s/match
  [n1] 150/300  wr=82.7%  8.44 s/match
  [n1] 160/300  wr=81.9%  8.64 s/match
  [n1] 170/300  wr=81.8%  8.85 s/match
  [n1] 180/300  wr=82.2%  8.88 s/match
  [n1] 190/300  wr=82.1%  8.89 s/match
  [n1] 200/300  wr=81.0%  8.85 s/match
  [n1] 210/300  wr=81.4%  8.81 s/match
  [n1] 220/300  wr=81.4%  8.79 s/match
  [n1] 230/300  wr=82.2%  8.77 s/match
  [n1] 240/300  wr=82.1%  8.75 s/match
  [n1] 250/300  wr=82.8%  8.79 s/match
  [n1] 260/300  wr=82.3%  8.76 s/match
  [n1] 270/300  wr=81.9%  8.75 s/match
  [n1] 280/300  wr=81.4%  8.75 s/match
  [n1] 290/300  wr=80.7%  8.75 s/match
  [n1] 300/300  wr=80.7%  8.74 s/match
[n1] wr=80.7%  towerdelta=0.4845  searched=54614 disagree=23325 wait->play=5161 play->wait=17220  wall=2622.0s -> rs_n1.json
