  [tau0.45] 10/300  wr=60.0%  2.28 s/match
  [tau0.45] 20/300  wr=45.0%  2.34 s/match
  [tau0.45] 30/300  wr=33.3%  2.15 s/match
  [tau0.45] 40/300  wr=32.5%  2.16 s/match
  [tau0.45] 50/300  wr=34.0%  2.07 s/match
  [tau0.45] 60/300  wr=35.0%  2.01 s/match
  [tau0.45] 70/300  wr=34.3%  1.94 s/match
  [tau0.45] 80/300  wr=33.8%  1.93 s/match
  [tau0.45] 90/300  wr=31.1%  1.91 s/match
  [tau0.45] 100/300  wr=32.0%  1.90 s/match
  [tau0.45] 110/300  wr=30.9%  1.89 s/match
  [tau0.45] 120/300  wr=28.3%  1.88 s/match
  [tau0.45] 130/300  wr=30.0%  1.89 s/match
  [tau0.45] 140/300  wr=29.3%  1.88 s/match
  [tau0.45] 150/300  wr=28.0%  1.87 s/match
  [tau0.45] 160/300  wr=27.5%  1.86 s/match
  [tau0.45] 170/300  wr=29.4%  1.86 s/match
  [tau0.45] 180/300  wr=30.0%  1.87 s/match
  [tau0.45] 190/300  wr=30.0%  1.85 s/match
  [tau0.45] 200/300  wr=30.0%  1.84 s/match
  [tau0.45] 210/300  wr=30.5%  1.84 s/match
  [tau0.45] 220/300  wr=31.4%  1.84 s/match
  [tau0.45] 230/300  wr=30.4%  1.84 s/match
  [tau0.45] 240/300  wr=30.0%  1.84 s/match
  [tau0.45] 250/300  wr=30.4%  1.83 s/match
  [tau0.45] 260/300  wr=30.0%  1.82 s/match
  [tau0.45] 270/300  wr=30.7%  1.82 s/match
  [tau0.45] 280/300  wr=31.4%  1.82 s/match
  [tau0.45] 290/300  wr=31.0%  1.81 s/match
  [tau0.45] 300/300  wr=30.7%  1.82 s/match
[tau0.45] wr=30.7%  towerdelta=-1.2397  searched=0 disagree=0 wait->play=0 play->wait=0  wall=544.8s -> C:\Users\benpe\ClashBot\scratchpad\rs_tau0.45.json
