# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p4_king_activation   pc     979     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     979     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     979     0.268  0.647     0.086      2.0  0.497  0.475      765    0.342     0.223
p5_timing            ra     979     0.259  0.658     0.083      2.0  0.489  0.464      766    0.335     0.219
p6_siege             pc     979     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     979     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     979     0.001  0.923     0.076      1.0  0.924  0.924       75   -0.068    -0.001
p7_fragility         ra     979     0.002  0.925     0.073      1.0  0.927  0.927       73   -0.068    -0.002
sum                  pc     979     0.398  0.382     0.220      6.0  0.182  0.144      964    0.981     0.783
sum                  ra     979     0.386  0.389     0.225      6.0  0.185  0.145      963    0.969     0.777

[knight] n=978  threat present 787/978  top threats: [('-', 191), ('knight', 62), ('goblinstein', 33), ('baby_dragon', 33)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
