# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_close_penalty     pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     341     0.012  0.774     0.214      1.0  0.786  0.780      315    0.525     0.604
p2_cover             ra     341     0.012  0.774     0.214      1.0  0.786  0.780      315    0.525     0.604
p3_intercept         pc     341     0.331  0.669     0.000      3.0  0.446  0.422      226    0.202     0.000
p3_intercept         ra     341     0.331  0.669     0.000      3.0  0.446  0.422      226    0.202     0.000
p4_spell_frac        pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     341     0.161  0.754     0.085      1.0  0.601  0.575      215    0.283     0.224
p5_timing            ra     341     0.144  0.765     0.091      1.0  0.616  0.589      215    0.289     0.236
p6_siege             pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     341     0.000  0.906     0.094      1.0  0.906  0.906       32   -0.090     0.000
p7_fragility         ra     341     0.000  0.921     0.079      1.0  0.921  0.921       27   -0.072     0.000
sum                  pc     341     0.302  0.452     0.246      5.0  0.302  0.264      324    0.920     0.827
sum                  ra     341     0.305  0.466     0.229      5.0  0.305  0.267      323    0.944     0.840

[knight] n=133  threat present 96/133  top threats: [('knight', 71), ('-', 37), ('ice_wizard', 25)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     133     0.135  0.729     0.135      1.0  0.722  0.714      125    0.499     0.477
p2_cover             ra     133     0.135  0.729     0.135      1.0  0.722  0.714      125    0.499     0.477
p3_intercept         pc     133     0.308  0.692     0.000      4.0  0.421  0.406       88    0.175     0.000
p3_intercept         ra     133     0.308  0.692     0.000      4.0  0.421  0.406       88    0.175     0.000
p4_spell_frac        pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     133     0.150  0.767     0.083      1.0  0.571  0.541       84    0.226     0.203
p5_timing            ra     133     0.158  0.752     0.090      1.0  0.579  0.549       84    0.236     0.213
p6_siege             pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     133     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     133     0.429  0.406     0.165      7.0  0.263  0.226      127    0.900     0.680
sum                  ra     133     0.429  0.406     0.165      7.0  0.263  0.226      127    0.909     0.691

[ice-wizard] n=37  threat present 28/37  top threats: [('knight', 17), ('ice_wizard', 11), ('-', 9)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc      37     0.243  0.703     0.054      1.0  0.838  0.838       34    0.525     0.426
p2_cover             ra      37     0.243  0.703     0.054      1.0  0.838  0.838       34    0.525     0.426
p3_intercept         pc      37     0.108  0.811     0.081      4.0  0.378  0.378       25    0.122     0.108
p3_intercept         ra      37     0.108  0.811     0.081      4.0  0.378  0.378       25    0.122     0.108
p4_spell_frac        pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc      37     0.162  0.730     0.108      1.0  0.514  0.486       22    0.133     0.105
p5_timing            ra      37     0.162  0.730     0.108      1.0  0.541  0.514       22    0.134     0.106
p6_siege             pc      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra      37     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc      37     0.000  0.973     0.027      1.0  0.973  0.973        1   -0.027     0.000
p7_fragility         ra      37     0.000  0.973     0.027      1.0  0.973  0.973        1   -0.027     0.000
sum                  pc      37     0.351  0.405     0.243      5.0  0.243  0.243       36    0.752     0.639
sum                  ra      37     0.351  0.405     0.243      5.0  0.243  0.243       36    0.754     0.640

[tornado] n=32  threat present 27/32  top threats: [('knight', 18), ('ice_wizard', 9), ('-', 5)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc      32     0.031  0.000     0.969     27.0  0.031  0.031       32    0.031     0.500
p2_cover             ra      32     0.031  0.000     0.969     27.0  0.031  0.031       32    0.031     0.500
p3_intercept         pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc      32     0.594  0.344     0.062      1.0  0.812  0.312       26    0.586     0.151
p4_spell_frac        ra      32     0.594  0.344     0.062      1.0  0.812  0.312       26    0.586     0.151
p4_nado              pc      32     0.562  0.344     0.094      1.0  0.719  0.188       25    0.085     0.030
p4_nado              ra      32     0.562  0.344     0.094      1.0  0.719  0.188       25    0.085     0.030
p4_king_activation   pc      32     0.000  1.000     0.000      1.0  0.844  0.844        5    0.000     0.000
p4_king_activation   ra      32     0.000  1.000     0.000      1.0  0.844  0.844        5    0.000     0.000
p5_timing            pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra      32     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc      32     0.594  0.000     0.406      2.0  0.469  0.000       32    0.702     0.681
sum                  ra      32     0.594  0.000     0.406      2.0  0.469  0.000       32    0.702     0.681

[the-log] n=137  threat present 100/137  top threats: [('knight', 64), ('-', 37), ('ice_wizard', 36)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     137     0.022  0.628     0.350      9.0  0.007  0.007      137    0.460     0.489
p2_cover             ra     137     0.022  0.628     0.350      9.0  0.007  0.007      137    0.460     0.489
p3_intercept         pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     137     0.182  0.818     0.000      1.0  0.861  0.810       49    0.165     0.029
p4_spell_frac        ra     137     0.182  0.818     0.000      1.0  0.861  0.810       49    0.165     0.029
p4_nado              pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     137     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     137     0.197  0.496     0.307      9.0  0.131  0.117      137    0.624     0.518
sum                  ra     137     0.197  0.496     0.307      9.0  0.131  0.117      137    0.624     0.518

[rocket] n=31  threat present 22/31  top threats: [('knight', 16), ('-', 9), ('ice_wizard', 6)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc      31     0.000  0.000     1.000     27.0  0.000  0.000       31    0.000     0.500
p2_cover             ra      31     0.000  0.000     1.000     27.0  0.000  0.000       31    0.000     0.500
p3_intercept         pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc      31     0.065  0.903     0.032      1.0  0.645  0.613       13    0.048     0.032
p4_spell_frac        ra      31     0.065  0.903     0.032      1.0  0.645  0.613       13    0.048     0.032
p4_nado              pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra      31     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc      31     0.032  0.032     0.935     27.0  0.032  0.032       31    0.048     0.532
sum                  ra      31     0.032  0.032     0.935     27.0  0.032  0.032       31    0.048     0.532

## B. per-card vs role-average radii agreement (fraction of plays where the pro tile's rank is UNCHANGED), blue side
card             n p1_pull_band p1_close_pen     p2_cover p3_intercept p4_spell_fra      p4_nado p4_king_acti    p5_timing     p6_siege p7_fragility          sum
tesla          807        0.643        0.978        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        0.679
x-bow          543        0.746        0.982        1.000        1.000        1.000        1.000        1.000        1.000        0.930        1.000        0.786
skeletons      979        1.000        1.000        1.000        0.973        1.000        1.000        1.000        0.797        1.000        0.935        0.707
knight         978        1.000        1.000        1.000        0.981        1.000        1.000        1.000        0.751        1.000        1.000        0.775
ice-wizard     922        1.000        1.000        1.000        0.974        1.000        1.000        1.000        0.767        1.000        0.966        0.709
tornado        425        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000
the-log        866        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000
rocket         305        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000        1.000
ALL blue      5825        0.927        0.995        1.000        0.988        1.000        1.000        1.000        0.887        0.993        0.984        0.803
threat identity unchanged under role radii: 1.000 (n=5825)
ONLY-WHEN-ACTIVE agreement (plays where the term is non-zero for the pro tile under either radii), blue side:
  p1_pull_band         n_active=  437  rank unchanged 0.508  mean pro pc 0.547 ra 0.566
  p1_close_penalty     n_active=   41  rank unchanged 0.317  mean pro pc -0.345 ra -0.109
  p2_cover             n_active= 4769  rank unchanged 1.000  mean pro pc 0.568 ra 0.568
  p3_intercept         n_active=  969  rank unchanged 0.966  mean pro pc 0.662 ra 0.653
  p4_spell_frac        n_active=  695  rank unchanged 1.000  mean pro pc 0.744 ra 0.744
  p4_nado              n_active=  296  rank unchanged 1.000  mean pro pc 0.175 ra 0.175
  p4_king_activation   n_active=   45  rank unchanged 1.000  mean pro pc 1.000 ra 1.000
  p5_timing            n_active= 1757  rank unchanged 0.855  mean pro pc 0.805 ra 0.803
  p6_siege             n_active=  378  rank unchanged 0.937  mean pro pc 0.941 ra 0.961
  p7_fragility         n_active=  139  rank unchanged 0.317  mean pro pc -0.695 ra -0.698

## C. which candidate wins the summed score most often (blue side, per-card radii)
  tesla        n=  807 best: [('centre', 293), ('tesla_modal', 153), ('corner', 103), ('bow_modal_R', 49), ('lane', 38)]
  x-bow        n=  543 best: [('g9_18', 314), ('corner', 96), ('bow_modal_R', 68), ('g3_18', 19), ('corner_R', 12)]
  skeletons    n=  979 best: [('centre', 184), ('lane', 113), ('bow_modal_R', 79), ('tesla_modal', 68), ('corner', 64)]
  knight       n=  978 best: [('centre', 217), ('lane', 128), ('bow_modal_R', 84), ('corner', 70), ('lane_R', 61)]
  ice-wizard   n=  922 best: [('centre', 164), ('lane', 126), ('bow_modal_R', 90), ('corner', 81), ('tesla_modal', 74)]
  tornado      n=  425 best: [('tesla_modal', 96), ('centre', 70), ('lane', 50), ('lane_R', 41), ('knight_cell', 26)]
  the-log      n=  866 best: [('centre', 373), ('bow_modal_R', 100), ('corner', 73), ('g3_18', 56), ('lane', 48)]
  rocket       n=  305 best: [('centre', 148), ('corner', 34), ('bow_modal_R', 27), ('g15_18', 20), ('g3_18', 18)]

## D. GATE RULE (doc s3): Tesla at the pros' modal tile (9,21) vs the corner tile (1.5,18.5) on boards whose picked threat is Hog/Giant/PEKKA

  all such boards: n=350  threats [('hog_rider', 156), ('giant', 126), ('pekka', 68)]
  term                  med(modal-corner)  med modal  med corner  mean modal  mean corner  modal>corner  modal<corner verdict
  p1_pull_band                      0.000      0.000       0.000       0.371        0.192         0.414         0.114 flat
  p1_close_penalty                  0.000      0.000       0.000      -0.014       -0.024         0.080         0.046 flat
  p2_cover                          0.500      1.000       0.500       0.813        0.404         0.817         0.000 keep
  p3_intercept                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_spell_frac                     0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_nado                           0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_king_activation                0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p5_timing                         0.000      1.000       1.000       0.805        0.805         0.000         0.000 flat
  p6_siege                          0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p7_fragility                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  sum                               0.500      2.000       1.500       1.974        1.377         0.880         0.057 keep

  threat on OUR half: n=252  threats [('hog_rider', 138), ('giant', 70), ('pekka', 44)]
  term                  med(modal-corner)  med modal  med corner  mean modal  mean corner  modal>corner  modal<corner verdict
  p1_pull_band                      0.000      0.000       0.000       0.388        0.183         0.425         0.103 flat
  p1_close_penalty                  0.000      0.000       0.000      -0.020       -0.033         0.111         0.063 flat
  p2_cover                          0.500      1.000       0.500       0.813        0.417         0.794         0.000 keep
  p3_intercept                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_spell_frac                     0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_nado                           0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_king_activation                0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p5_timing                         0.000      1.000       1.000       1.000        1.000         0.000         0.000 flat
  p6_siege                          0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p7_fragility                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  sum                               0.500      2.000       1.500       2.182        1.567         0.897         0.044 keep

  threat on THEIR half: n=98  threats [('giant', 56), ('pekka', 24), ('hog_rider', 18)]
  term                  med(modal-corner)  med modal  med corner  mean modal  mean corner  modal>corner  modal<corner verdict
  p1_pull_band                      0.000      0.000       0.000       0.328        0.217         0.388         0.143 flat
  p1_close_penalty                  0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p2_cover                          0.500      1.000       0.500       0.811        0.372         0.878         0.000 keep
  p3_intercept                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_spell_frac                     0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_nado                           0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p4_king_activation                0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p5_timing                         0.000      0.000       0.000       0.302        0.302         0.000         0.000 flat
  p6_siege                          0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  p7_fragility                      0.000      0.000       0.000       0.000        0.000         0.000         0.000 inactive (never fires for a Tesla)
  sum                               0.500      1.309       0.755       1.441        0.891         0.837         0.092 keep
