[22/211] 00LYPLJLQ80J {'tag': '00LYPLJLQ80J', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 20, 'rejected': 0, 'delays': 0, 't': 91.1, 'secs': 0.04}
[23/211] 00LYPLJLRJ00 {'tag': '00LYPLJLRJ00', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 17, 'rejected': 0, 'delays': 0, 't': 82.1, 'secs': 0.04}
[24/211] 00LYPLJLYQCR {'tag': '00LYPLJLYQCR', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 10, 'rejected': 1, 'delays': 0, 't': 47.5, 'secs': 0.05}
[25/211] 00LYPLR0C8GJ {'tag': '00LYPLR0C8GJ', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 63, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.06}
[26/211] 00LYPLR200VU {'tag': '00LYPLR200VU', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.07}
[27/211] 00LYPLR222YQ {'tag': '00LYPLR222YQ', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 15, 'rejected': 0, 'delays': 0, 't': 112.6, 'secs': 0.04}
[28/211] 00LYPLU8C8JP {'tag': '00LYPLU8C8JP', 'error': None, 'crowns': [0, 3], 'expected': [0, 3], 'crowns_match': True, 'winner_match': True, 'accepted': 26, 'rejected': 0, 'delays': 0, 't': 142.7, 'secs': 0.04}
[29/211] 00LYPLU8VV0C {'tag': '00LYPLU8VV0C', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 65, 'rejected': 0, 'delays': 0, 't': 217.2, 'secs': 0.16}
[30/211] 00LYPLU8YQVQ {'tag': '00LYPLU8YQVQ', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 78, 'rejected': 1, 'delays': 0, 't': 300.1, 'secs': 0.24}
[31/211] 00LYPQ28JL8Q {'tag': '00LYPQ28JL8Q', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 103, 'rejected': 0, 'delays': 1, 't': 255.6, 'secs': 0.21}
[32/211] 00LYPQ28PU22 {'tag': '00LYPQ28PU22', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.21}
[33/211] 00LYPQ2909YG {'tag': '00LYPQ2909YG', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 72, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.17}
[34/211] 00LYPQ8LGYP2 {'tag': '00LYPQ8LGYP2', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.18}
[35/211] 00UYPL92ULUL {'tag': '00UYPL92ULUL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 57, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.3}
[36/211] 00UYPL99P28R {'tag': '00UYPL99P28R', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 13, 'rejected': 0, 'delays': 0, 't': 51.0, 'secs': 0.02}
[37/211] 00UYPL99PV2P {'tag': '00UYPL99PV2P', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 18, 'rejected': 1, 'delays': 0, 't': 90.6, 'secs': 0.09}
[38/211] 00UYPL99UQCG {'tag': '00UYPL99UQCG', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 65, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.15}
