[26/211] 00LYPLR200VU {'tag': '00LYPLR200VU', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.1}
[27/211] 00LYPLR222YQ {'tag': '00LYPLR222YQ', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 15, 'rejected': 0, 'delays': 0, 't': 114.3, 'secs': 0.03}
[28/211] 00LYPLU8C8JP {'tag': '00LYPLU8C8JP', 'error': None, 'crowns': [0, 3], 'expected': [0, 3], 'crowns_match': True, 'winner_match': True, 'accepted': 26, 'rejected': 0, 'delays': 0, 't': 143.7, 'secs': 0.05}
[29/211] 00LYPLU8VV0C {'tag': '00LYPLU8VV0C', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 110, 'rejected': 0, 'delays': 0, 't': 293.4, 'secs': 0.45}
[30/211] 00LYPLU8YQVQ {'tag': '00LYPLU8YQVQ', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 78, 'rejected': 1, 'delays': 0, 't': 300.1, 'secs': 0.21}
[31/211] 00LYPQ28JL8Q {'tag': '00LYPQ28JL8Q', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 95, 'rejected': 0, 'delays': 1, 't': 248.0, 'secs': 0.19}
[32/211] 00LYPQ28PU22 {'tag': '00LYPQ28PU22', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.24}
[33/211] 00LYPQ2909YG {'tag': '00LYPQ2909YG', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 72, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.19}
[34/211] 00LYPQ8LGYP2 {'tag': '00LYPQ8LGYP2', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.18}
[35/211] 00UYPL92ULUL {'tag': '00UYPL92ULUL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 57, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.32}
