batch: 198 tags, 0 already done, port 37032
[34/198] bc669e466aec434ab7acb05287199b54 acc 65/65 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3543) 6.09s
[35/198] 0e9ad20052db4dd9bf026ed5fa1a53e6 acc 129/129 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 6032 (last play 5892) 10.65s
[36/198] bb4d23d5ecfb454e9a74367953c48890 acc 64/64 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3512) 5.73s
[37/198] 54cde027445a4f54a19e8eb35964853e acc 61/64 rej {'native_rejected': 2, 'card_not_in_hand': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4184) 5.68s
[38/198] e6a0f59dcdca4158adb2870d028bd82d acc 61/64 rej {'native_rejected': 2, 'card_not_in_hand': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4040 (last play 4931) 6.2s
[39/198] 2d4bba8f14044e8382054c36831ccf64 acc 66/68 rej {'native_rejected': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4213 (last play 4461) 6.31s
[40/198] 81bc0da1c5bf4e3f9ec3f867194e11a1 acc 93/97 rej {'native_rejected': 3, 'card_not_in_hand': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5334 (last play 5862) 9.87s
[41/198] 8fba617a3d2b4dfab70ed28e90106e1b acc 49/51 rej {'native_rejected': 2} crowns [3, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3313 (last play 3894) 5.5s
[42/198] 1f0759b3a84e43efb3263eb96eaac149 acc 47/48 rej {'native_rejected': 1} crowns [3, 0] exp [1, 0] match=False term=native_logic_clock_stopped tick 3353 (last play 3541) 5.46s
[43/198] a7290ae8f8a74a68a227622f6ed77c61 acc 80/80 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6094 (last play 4544) 8.74s
[44/198] c204a46a48564339abc3ef65f6c5945f acc 71/71 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4216 (last play 4081) 6.58s
[45/198] e1b8f4f0724b4cf68f61a8acdd466903 acc 58/58 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3838 (last play 3674) 6.25s
[46/198] f92cd295b7a04e50964cd64a9dc0e942 acc 53/53 rej {} crowns [2, 1] exp [1, 0] match=False term=native_tiebreak_hp_drain tick 6142 (last play 3526) 8.26s
[47/198] cb6297925c51456fa6014198a0e7382d acc 61/62 rej {'native_rejected': 1} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 3681 (last play 5975) 5.91s
[48/198] 812e420a22c646309b6b87add2b54ac0 acc 48/48 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 3557 (last play 3307) 5.12s
[49/198] da220d3cad2a45538f7262ae45ea8dd8 acc 68/68 rej {} crowns [1, 2] exp [0, 1] match=False term=native_logic_clock_stopped tick 4122 (last play 3577) 6.62s
[50/198] 209363597fe34164b05c98f13a0d43a6 acc 87/88 rej {'native_rejected': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4490 (last play 4434) 7.59s
[51/198] 23a0e5179c5b4f54aef54b42e0cb0ceb acc 55/57 rej {'native_rejected': 1, 'card_not_in_hand': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4021) 5.73s
[52/198] 9f257f3f62644c7b8b501d2cab283839 acc 62/62 rej {} crowns [0, 1] exp [0, 3] match=False term=native_logic_clock_stopped tick 3681 (last play 3423) 5.66s
[53/198] d0342aee77aa45f988eb3e8b8fd99c0f acc 12/12 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 1760 (last play 1501) 2.27s
[54/198] d08aba67ecd24871ae227d7c22c85bd1 acc 27/27 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 2171 (last play 1916) 3.28s
[55/198] 3c796b6604f142d488cb18f2643611ee acc 56/57 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4887) 6.1s
[56/198] 6844a3e9a91f4eb793fe5786dbd9be97 acc 150/150 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6120 (last play 5962) 11.92s
