batch: 198 tags, 0 already done, port 37032
[146/198] 4e90f9d6acd14b4c9f6d146b3982e37d acc 75/78 rej {'native_rejected': 3} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 5971) 6.48s
[147/198] f95d9e453bfa4ef7a6827a7731205abf acc 61/61 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4179 (last play 4011) 6.89s
[148/198] 5b491e34471a48ad86de29d665f97570 acc 78/78 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4311 (last play 4082) 8.07s
[149/198] 0ef997a2cae6400e84745dd5225778ef acc 53/54 rej {'native_rejected': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 4741) 6.19s
[150/198] 0a83eb17ad6a4bd7a8ccf8e45403f2b2 acc 100/102 rej {'native_rejected': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 5355 (last play 5971) 9.45s
[151/198] f9e0fd7acc964956a159a4c3566fe7e9 acc 101/101 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4940 (last play 4641) 8.8s
[152/198] b9a51c91dbd548c1b7ded2c20598ea7b acc 34/34 rej {} crowns [1, 3] exp [0, 3] match=False term=native_logic_clock_stopped tick 2941 (last play 2676) 4.98s
[153/198] d0c59d51b680417cae7540ace6b10cc2 acc 59/61 rej {'native_rejected': 2} crowns [1, 0] exp [1, 2] match=False term=native_logic_clock_stopped tick 3681 (last play 4145) 6.49s
[154/198] 2fc84cabfc4143a4aac1797fab40935d acc 134/134 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6106 (last play 5962) 11.6s
[155/198] 37f13b9bc8794e0596ae02b1cadc1c86 acc 102/106 rej {'native_rejected': 4} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 5609 (last play 5952) 10.05s
[156/198] d205d3228a0f4272bf5a83016bc76528 acc 60/68 rej {'card_not_in_hand': 5, 'native_rejected': 3} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 5942) 6.2s
[157/198] 597f500a54b64b7faef854bc5d870f6f acc 151/151 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6117 (last play 5948) 11.89s
[158/198] 15794c15d6e749f8bc46dc90933e84ae acc 12/12 rej {} crowns [3, 0] exp [3, 0] match=True term=native_logic_clock_stopped tick 1169 (last play 904) 1.99s
[159/198] 4126b51f32064941a1f193fe40924ac9 acc 59/59 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3784 (last play 3614) 6.46s
[160/198] 3f4ed7b5cbe94095bd74e546220b0f45 acc 27/27 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 2240 (last play 1808) 3.32s
[161/198] 02d63905d5fe40b9a686c0417c0301be acc 140/140 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5662 (last play 5512) 10.55s
[162/198] 86f83173a9854afebff1b5aebccf1735 acc 58/61 rej {'native_rejected': 3} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3786 (last play 4093) 6.66s
[163/198] e87d6966e3e345fca0be75576fd73b7e acc 55/55 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3587) 5.92s
[164/198] 0d9c61f5b3144d1eab6437297fefad5c acc 100/100 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5157 (last play 5028) 8.91s
[165/198] 82d25cf08f074423908a96ed0b365736 acc 134/135 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5962 (last play 5945) 11.74s
[166/198] 7ec5c8ee4e3741b0855aa33ba506528c acc 141/141 rej {} crowns [1, 0] exp [1, 0] match=True term=native_tiebreak_hp_drain tick 6117 (last play 5921) 11.76s
[167/198] f7370ec13ad14e869912fe1f17436aac acc 70/70 rej {} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 3681 (last play 4411) 6.55s
[168/198] e53e455cfa494497b17140c134320ded acc 22/22 rej {} crowns [3, 0] exp [3, 0] match=True term=native_logic_clock_stopped tick 2087 (last play 1946) 3.2s
[169/198] cf2b747188d74e4394f037415bfee906 acc 67/67 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4431 (last play 4261) 6.97s
[170/198] f07ada366fc343628eb120d04c7fb2d5 acc 61/62 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3967 (last play 5425) 6.86s
[171/198] 1560fc6823314f688c477c3275adb22f acc 70/70 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4170 (last play 4024) 6.63s
[172/198] 9e9d77d8e3e2433790f53547a1068333 acc 77/79 rej {'native_rejected': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4859 (last play 5616) 9.48s
[173/198] a24b5cfd88aa4a0899dd9e04db9c48e2 acc 81/83 rej {'native_rejected': 1, 'card_not_in_hand': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4446 (last play 4988) 8.0s
[174/198] a758d61139e247f7890f89f83a543688 acc 54/56 rej {'native_rejected': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 4678) 6.65s
[175/198] eb5cbae49b3f42c3af573f2d87c43c22 acc 80/80 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6070 (last play 4841) 9.51s
[176/198] 3ccfec8e545e46cc8d361bc6aa102940 acc 50/52 rej {'native_rejected': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3888 (last play 5047) 6.16s
[177/198] cdb273a587254c2e82a83cdeed766012 acc 65/66 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3753 (last play 3871) 6.81s
[178/198] 8057075b17fe458da2201ce4a4ae3819 acc 54/54 rej {} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 3736 (last play 3572) 6.49s
[179/198] 98ee349e1ce24e2b86277309d634dc2c acc 69/69 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6089 (last play 4144) 9.06s
[180/198] 4712e57fe52446629f3d653ef5df6d1b acc 107/107 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6105 (last play 5176) 10.74s
[181/198] fb99acb861c343a29a9cd1faa3733a7d acc 53/53 rej {} crowns [0, 3] exp [1, 0] match=False term=native_logic_clock_stopped tick 3613 (last play 4325) 6.41s
[182/198] c26a239d1bf74752b1567600f08f47d8 acc 63/63 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4192) 6.4s
[183/198] 1162a051ee94468aa2677626b1f94b81 acc 66/66 rej {} crowns [0, 1] exp [0, 2] match=False term=native_logic_clock_stopped tick 3681 (last play 3579) 6.8s
[184/198] c4cb1e7982354ac398d4931bc408c0f9 acc 6/6 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 1025 (last play 772) 1.92s
[185/198] 5aa513f16ae241899c7b044082cc5d6b acc 113/117 rej {'native_rejected': 2, 'card_not_in_hand': 2} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5275 (last play 5965) 10.78s
[186/198] c397ea62b990422fbe0b5e2e9fceaaca acc 94/98 rej {'native_rejected': 2, 'card_not_in_hand': 2} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4848 (last play 5701) 8.83s
[187/198] b0b0f8a2e7df48cc878639bc912276d7 acc 46/46 rej {} crowns [3, 0] exp [3, 0] match=True term=native_logic_clock_stopped tick 3425 (last play 3166) 5.38s
[188/198] 11f0ec43dd9c44d19723c5202052f95f acc 113/116 rej {'native_rejected': 2, 'card_not_in_hand': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 5666 (last play 5934) 10.67s
[189/198] cdfdb554d7d045ce824d7dc3751f830a acc 50/52 rej {'native_rejected': 2} crowns [0, 2] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 4721) 6.1s
[190/198] 63e5b6f73b2847de9dd04df43fcb9e52 acc 83/85 rej {'native_rejected': 2} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5112 (last play 5948) 9.33s
[191/198] 8d3e956271e24a4ba051e72c60744398 acc 64/65 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4764) 6.53s
[192/198] 7e433326ebdb414a94af3d9072aeda64 acc 69/69 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4053 (last play 3943) 7.08s
[193/198] 5dbba0ffd3dd42b8a01f9c91ae271a00 acc 61/61 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4242 (last play 3973) 7.42s
[194/198] 90a6b48c64ee4d1bbf38bd5c4c03919c acc 46/51 rej {'native_rejected': 1, 'card_not_in_hand': 4} crowns [1, 2] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 3536) 6.27s
[195/198] 91358e86d89f49bb9682ceddbaca7f24 acc 55/58 rej {'native_rejected': 3} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3755 (last play 4662) 6.95s
[196/198] 8dbcc5fc1bf34c8eb95b8a1f563486f9 acc 84/88 rej {'native_rejected': 3, 'card_not_in_hand': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5114 (last play 5965) 9.17s
[197/198] 8af2867488e145b1931d32c7e1c58db8 acc 61/61 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3578) 6.3s
[198/198] c2396587c6964b64bfa6fcea724ffe80 acc 60/60 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3836 (last play 3721) 6.38s
{
 "tags": 198,
 "converted": 198,
 "failed": 0,
 "failed_by_error": {},
 "plays_driven": 14789,
 "accepted": 14603,
 "accept_rate": 0.9874,
 "rejected_by_reason": {
  "native_rejected": 152,
  "card_not_in_hand": 34
 },
 "invalid_placement": 0,
 "matches_with_rejections": 78,
 "elixir_delays_plays": 0,
 "elixir_delays_max_ticks": 0,
 "ability_plays_skipped": 589,
 "position_based_all": true,
 "terminated": 198,
 "termination_reasons": {
  "native_logic_clock_stopped": 160,
  "native_tiebreak_hp_drain": 38
 },
 "crowns_match": 117,
 "crowns_match_rate": 0.5909,
 "outcomes": {
  "side0_win": 88,
  "side1_win": 110
 },
 "clean": 79,
 "terminal_vs_last_play": {
  "median": 133,
  "negative": 76
 },
 "determinism": {
  "checked": 0,
  "same": 0
 },
 "seconds_total": 1475.7,
 "seconds_per_match_median": 6.8,
 "batch_wall_seconds": 1475.7,
 "rotated_rows": 7757,
 "rotated_tags": 90
}
