[upd   12] m=   37 dec=  12288 | win ep_r -1.830 (last50 -4.879) WLD 1/2/0 cum 6/31/0 len 199s | pl +0.0541 vl 0.5199 ent 0.525 cell_ent 3.782 kl_cell 0.1553 kl_card 0.2526 kl_term +0.0466 clip 0.520 vpred -1.565 ret -1.442 | last-epoch pl +0.0480 kl_cell 0.1364 kl_term +0.0409 | raw_p99 8.21 max 15.1 | p_play 0.084 | s/match 14.83 roll 28.5s (pol 4.6s) upd 11.7s warm_mb 0 cell_coef 0.0495 elapsed 5.6m | GATE p_gate 0.1174 p90 0.2260 frac_gt_tau 0.0670 (n 881) gp_ce 0.4373 gp_target 0.1013 gp_rows 0.860
[upd   13] m=   39 dec=  13312 | win ep_r +4.859 (last50 -4.380) WLD 2/0/0 cum 8/31/0 len 216s | pl +0.0223 vl 0.5639 ent 0.366 cell_ent 3.808 kl_cell 0.1042 kl_card 0.1468 kl_term +0.0313 clip 0.063 vpred -1.050 ret -0.928 | last-epoch pl +0.0154 kl_cell 0.1017 kl_term +0.0305 | raw_p99 8.62 max 16.0 | p_play 0.074 | s/match 16.63 roll 26.3s (pol 4.5s) upd 11.6s warm_mb 0 cell_coef 0.0495 elapsed 6.2m | GATE p_gate 0.0903 p90 0.1790 frac_gt_tau 0.0185 (n 866) gp_ce 0.3283 gp_target 0.0954 gp_rows 0.846
[upd   14] m=   42 dec=  14336 | win ep_r -5.262 (last50 -4.443) WLD 0/3/0 cum 8/34/0 len 197s | pl +0.0190 vl 0.4042 ent 0.349 cell_ent 3.997 kl_cell 0.1597 kl_card 0.2860 kl_term +0.0479 clip 0.070 vpred -1.383 ret -1.454 | last-epoch pl +0.0153 kl_cell 0.1453 kl_term +0.0436 | raw_p99 8.31 max 14.0 | p_play 0.064 | s/match 14.24 roll 28.1s (pol 4.7s) upd 11.6s warm_mb 0 cell_coef 0.0494 elapsed 6.9m | GATE p_gate 0.0802 p90 0.1418 frac_gt_tau 0.0071 (n 984) gp_ce 0.3787 gp_target 0.1085 gp_rows 0.961
[upd   15] m=   45 dec=  15360 | win ep_r -4.587 (last50 -4.452) WLD 1/2/0 cum 9/36/0 len 156s | pl +0.0171 vl 0.8431 ent 0.288 cell_ent 4.026 kl_cell 0.1531 kl_card 0.3290 kl_term +0.0459 clip 0.052 vpred -1.060 ret -1.106 | last-epoch pl +0.0123 kl_cell 0.1406 kl_term +0.0422 | raw_p99 9.08 max 15.2 | p_play 0.051 | s/match 12.01 roll 27.3s (pol 4.5s) upd 11.7s warm_mb 0 cell_coef 0.0494 elapsed 7.6m | GATE p_gate 0.0490 p90 0.0889 frac_gt_tau 0.0000 (n 984) gp_ce 0.3833 gp_target 0.1158 gp_rows 0.961
[upd   16] m=   49 dec=  16384 | win ep_r -8.215 (last50 -4.759) WLD 0/4/0 cum 9/40/0 len 145s | pl +0.0132 vl 0.6321 ent 0.277 cell_ent 3.904 kl_cell 0.1878 kl_card 0.3543 kl_term +0.0563 clip 0.042 vpred -1.931 ret -2.001 | last-epoch pl +0.0176 kl_cell 0.1704 kl_term +0.0511 | raw_p99 9.48 max 19.1 | p_play 0.049 | s/match 12.45 roll 37.0s (pol 7.6s) upd 17.7s warm_mb 0 cell_coef 0.0493 elapsed 8.5m | GATE p_gate 0.0679 p90 0.1177 frac_gt_tau 0.0000 (n 977) gp_ce 0.4075 gp_target 0.1289 gp_rows 0.954
[upd   17] m=   52 dec=  17408 | win ep_r -8.660 (last50 -5.146) WLD 0/3/0 cum 9/43/0 len 176s | pl +0.0045 vl 0.5503 ent 0.332 cell_ent 3.832 kl_cell 0.1333 kl_card 0.4694 kl_term +0.0400 clip 0.083 vpred -2.154 ret -2.203 | last-epoch pl +0.0018 kl_cell 0.1176 kl_term +0.0353 | raw_p99 9.66 max 17.2 | p_play 0.059 | s/match 20.21 roll 43.0s (pol 10.4s) upd 17.6s warm_mb 0 cell_coef 0.0493 elapsed 9.5m | GATE p_gate 0.0754 p90 0.1375 frac_gt_tau 0.0031 (n 969) gp_ce 0.3790 gp_target 0.1155 gp_rows 0.946
[upd   18] m=   55 dec=  18432 | win ep_r -3.292 (last50 -5.214) WLD 1/2/0 cum 10/45/0 len 155s | pl +0.0196 vl 0.5880 ent 0.383 cell_ent 3.934 kl_cell 0.1008 kl_card 0.1946 kl_term +0.0302 clip 0.117 vpred -1.995 ret -1.963 | last-epoch pl +0.0156 kl_cell 0.0998 kl_term +0.0299 | raw_p99 8.04 max 20.9 | p_play 0.072 | s/match 17.70 roll 40.3s (pol 10.0s) upd 17.6s warm_mb 0 cell_coef 0.0492 elapsed 10.4m | GATE p_gate 0.0752 p90 0.1431 frac_gt_tau 0.0175 (n 913) gp_ce 0.2885 gp_target 0.0733 gp_rows 0.892
[upd   19] m=   58 dec=  19456 | win ep_r -7.667 (last50 -5.282) WLD 0/3/0 cum 10/48/0 len 150s | pl +0.0609 vl 0.3504 ent 0.340 cell_ent 3.948 kl_cell 0.0843 kl_card 0.2029 kl_term +0.0253 clip 0.094 vpred -2.023 ret -2.025 | last-epoch pl +0.0349 kl_cell 0.0820 kl_term +0.0246 | raw_p99 8.53 max 17.5 | p_play 0.068 | s/match 17.94 roll 42.2s (pol 10.0s) upd 16.8s warm_mb 0 cell_coef 0.0492 elapsed 11.4m | GATE p_gate 0.0857 p90 0.1655 frac_gt_tau 0.0253 (n 948) gp_ce 0.3121 gp_target 0.0900 gp_rows 0.926
[upd   20] m=   62 dec=  20480 | win ep_r -7.463 (last50 -5.263) WLD 0/4/0 cum 10/52/0 len 163s | pl +0.0175 vl 0.6532 ent 0.281 cell_ent 3.700 kl_cell 0.1137 kl_card 0.2088 kl_term +0.0341 clip 0.043 vpred -2.273 ret -2.310 | last-epoch pl +0.0162 kl_cell 0.1128 kl_term +0.0338 | raw_p99 10.05 max 20.2 | p_play 0.056 | s/match 17.43 roll 44.0s (pol 11.8s) upd 18.0s warm_mb 0 cell_coef 0.0491 elapsed 12.5m | GATE p_gate 0.0583 p90 0.1202 frac_gt_tau 0.0000 (n 1007) gp_ce 0.3590 gp_target 0.1091 gp_rows 0.983
[upd   21] m=   66 dec=  21504 | win ep_r -9.051 (last50 -5.602) WLD 0/4/0 cum 10/56/0 len 115s | pl +0.0047 vl 0.6392 ent 0.171 cell_ent 3.644 kl_cell 0.0872 kl_card 0.2628 kl_term +0.0262 clip 0.032 vpred -2.661 ret -2.738 | last-epoch pl +0.0063 kl_cell 0.0852 kl_term +0.0256 | raw_p99 11.99 max 20.2 | p_play 0.039 | s/match 14.21 roll 44.3s (pol 13.1s) upd 17.8s warm_mb 0 cell_coef 0.0491 elapsed 13.5m | GATE p_gate 0.0343 p90 0.0622 frac_gt_tau 0.0000 (n 1006) gp_ce 0.4042 gp_target 0.1051 gp_rows 0.982
