[upd   12] m=   39 dec=  12288 | win ep_r -0.806 (last50 -4.930) WLD 2/2/0 cum 7/32/0 len 157s | pl +0.0300 vl 0.7443 ent 0.334 cell_ent 2.639 kl_cell 1.0162 kl_card 0.2400 kl_term +0.0000 clip 0.178 vpred -1.326 ret -1.237 | last-epoch pl +0.0241 kl_cell 1.0434 kl_term +0.0000 | raw_p99 17.83 max 35.5 | p_play 0.064 | s/match 11.10 roll 27.7s (pol 4.6s) upd 11.6s warm_mb 0 cell_coef 0.0495 elapsed 5.7m | GATE p_gate 0.0692 p90 0.1312 frac_gt_tau 0.0117 (n 937) gp_ce 0.4086 gp_target 0.1181 gp_rows 0.915
[upd   13] m=   42 dec=  13312 | win ep_r -4.442 (last50 -4.895) WLD 1/2/0 cum 8/34/0 len 187s | pl +0.0029 vl 0.6943 ent 0.301 cell_ent 3.152 kl_cell 0.8588 kl_card 0.3206 kl_term +0.0000 clip 0.061 vpred -1.575 ret -1.584 | last-epoch pl +0.0035 kl_cell 0.8571 kl_term +0.0000 | raw_p99 17.96 max 37.4 | p_play 0.072 | s/match 13.72 roll 27.6s (pol 4.5s) upd 11.6s warm_mb 0 cell_coef 0.0494 elapsed 6.3m | GATE p_gate 0.0741 p90 0.1374 frac_gt_tau 0.0071 (n 981) gp_ce 0.4165 gp_target 0.1375 gp_rows 0.958
[upd   14] m=   44 dec=  14336 | win ep_r -1.547 (last50 -4.743) WLD 1/1/0 cum 9/35/0 len 172s | pl +0.0170 vl 0.5341 ent 0.308 cell_ent 3.088 kl_cell 0.8552 kl_card 0.2812 kl_term +0.0000 clip 0.067 vpred -1.278 ret -1.255 | last-epoch pl +0.0168 kl_cell 0.8433 kl_term +0.0000 | raw_p99 17.43 max 41.9 | p_play 0.068 | s/match 15.18 roll 28.8s (pol 4.6s) upd 11.7s warm_mb 0 cell_coef 0.0494 elapsed 7.0m | GATE p_gate 0.0715 p90 0.1338 frac_gt_tau 0.0092 (n 981) gp_ce 0.3261 gp_target 0.0970 gp_rows 0.958
[upd   15] m=   47 dec=  15360 | win ep_r -6.947 (last50 -4.883) WLD 0/3/0 cum 9/38/0 len 187s | pl +0.0048 vl 0.6121 ent 0.309 cell_ent 3.117 kl_cell 0.9447 kl_card 0.2273 kl_term +0.0000 clip 0.086 vpred -1.278 ret -1.253 | last-epoch pl +0.0033 kl_cell 0.9441 kl_term +0.0000 | raw_p99 16.89 max 40.8 | p_play 0.072 | s/match 14.21 roll 28.7s (pol 4.6s) upd 11.4s warm_mb 0 cell_coef 0.0493 elapsed 7.7m | GATE p_gate 0.0847 p90 0.1804 frac_gt_tau 0.0450 (n 866) gp_ce 0.2934 gp_target 0.0817 gp_rows 0.846
[upd   16] m=   51 dec=  16384 | win ep_r -1.517 (last50 -4.850) WLD 2/2/0 cum 11/40/0 len 155s | pl +0.0199 vl 0.8709 ent 0.292 cell_ent 3.164 kl_cell 0.9197 kl_card 0.3241 kl_term +0.0000 clip 0.064 vpred -1.087 ret -1.090 | last-epoch pl +0.0147 kl_cell 0.9295 kl_term +0.0000 | raw_p99 16.93 max 40.2 | p_play 0.070 | s/match 14.67 roll 45.7s (pol 12.2s) upd 18.4s warm_mb 0 cell_coef 0.0493 elapsed 8.7m | GATE p_gate 0.0781 p90 0.1512 frac_gt_tau 0.0042 (n 953) gp_ce 0.3079 gp_target 0.0870 gp_rows 0.931
[upd   17] m=   54 dec=  17408 | win ep_r -7.295 (last50 -5.089) WLD 0/3/0 cum 11/43/0 len 186s | pl +0.0432 vl 0.5816 ent 0.284 cell_ent 3.180 kl_cell 0.8212 kl_card 0.2999 kl_term +0.0000 clip 0.044 vpred -1.611 ret -1.583 | last-epoch pl +0.0445 kl_cell 0.7913 kl_term +0.0000 | raw_p99 17.12 max 39.8 | p_play 0.059 | s/match 22.41 roll 46.0s (pol 12.5s) upd 18.3s warm_mb 0 cell_coef 0.0492 elapsed 9.8m | GATE p_gate 0.0602 p90 0.1179 frac_gt_tau 0.0000 (n 984) gp_ce 0.4001 gp_target 0.1307 gp_rows 0.961
[upd   18] m=   58 dec=  18432 | win ep_r -7.815 (last50 -5.215) WLD 0/4/0 cum 11/47/0 len 130s | pl +0.0100 vl 0.7410 ent 0.271 cell_ent 3.124 kl_cell 0.7462 kl_card 0.2935 kl_term +0.0000 clip 0.053 vpred -1.782 ret -1.862 | last-epoch pl +0.0103 kl_cell 0.6833 kl_term +0.0000 | raw_p99 17.13 max 39.4 | p_play 0.063 | s/match 14.89 roll 41.9s (pol 12.1s) upd 18.5s warm_mb 0 cell_coef 0.0492 elapsed 10.8m | GATE p_gate 0.0708 p90 0.1263 frac_gt_tau 0.0020 (n 990) gp_ce 0.3259 gp_target 0.0973 gp_rows 0.967
[upd   19] m=   61 dec=  19456 | win ep_r -2.227 (last50 -4.907) WLD 1/2/0 cum 12/49/0 len 184s | pl +0.0255 vl 0.3985 ent 0.428 cell_ent 3.255 kl_cell 0.6760 kl_card 0.1943 kl_term +0.0000 clip 0.117 vpred -1.414 ret -1.400 | last-epoch pl +0.0188 kl_cell 0.6876 kl_term +0.0000 | raw_p99 15.33 max 38.9 | p_play 0.074 | s/match 20.91 roll 42.3s (pol 12.5s) upd 18.6s warm_mb 0 cell_coef 0.0491 elapsed 11.8m | GATE p_gate 0.0907 p90 0.1791 frac_gt_tau 0.0093 (n 969) gp_ce 0.3680 gp_target 0.1058 gp_rows 0.946
[upd   20] m=   64 dec=  20480 | win ep_r -8.073 (last50 -5.167) WLD 0/3/0 cum 12/52/0 len 153s | pl +0.0095 vl 0.6214 ent 0.266 cell_ent 3.309 kl_cell 0.6286 kl_card 0.2999 kl_term +0.0000 clip 0.064 vpred -2.027 ret -2.023 | last-epoch pl +0.0081 kl_cell 0.6189 kl_term +0.0000 | raw_p99 15.67 max 38.9 | p_play 0.065 | s/match 19.82 roll 48.1s (pol 14.6s) upd 19.2s warm_mb 0 cell_coef 0.0491 elapsed 13.0m | GATE p_gate 0.0719 p90 0.1455 frac_gt_tau 0.0181 (n 940) gp_ce 0.3189 gp_target 0.0932 gp_rows 0.918
[upd   21] m=   67 dec=  21504 | win ep_r -6.774 (last50 -5.097) WLD 0/3/0 cum 12/55/0 len 179s | pl +0.0238 vl 0.5608 ent 0.385 cell_ent 3.463 kl_cell 0.5181 kl_card 0.2505 kl_term +0.0000 clip 0.078 vpred -1.657 ret -1.708 | last-epoch pl +0.0198 kl_cell 0.4814 kl_term +0.0000 | raw_p99 17.93 max 40.2 | p_play 0.072 | s/match 22.61 roll 46.6s (pol 13.8s) upd 19.5s warm_mb 0 cell_coef 0.0491 elapsed 14.1m | GATE p_gate 0.0701 p90 0.1322 frac_gt_tau 0.0131 (n 993) gp_ce 0.3445 gp_target 0.1065 gp_rows 0.970
