icebow: i=0 625 replays, i=1 561 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
red   goblin-gang           215    8.71  0.521  10.90  0.00 |    140    8.73  0.471  11.94  0.00 | -0.050  -0.9
red   graveyard             211    9.34  0.479  25.88  1.00 |    170    8.54  0.529  25.84  1.00 | +0.051   1.0
red   witch                 208    9.02  0.529   7.82  0.00 |     58    7.72  0.586   7.64  0.00 | +0.057   0.8
red   bats                  201    8.26  0.582  11.77  0.00 |    182    8.93  0.505  12.21  0.01 | -0.077  -1.5
red   golem                 191    9.27  0.466   7.22  0.04 |    133    8.47  0.541   6.31  0.02 | +0.075   1.3
red   night-witch           190    9.30  0.432   6.16  0.05 |     90    9.72  0.511   6.37  0.02 | +0.080   1.2
red   poison                188    9.12  0.500  22.24  0.98 |    224    9.93  0.411  22.56  0.99 | -0.089  -1.8
red   wizard                187    8.58  0.524  10.48  0.00 |    230    9.09  0.513  10.87  0.00 | -0.011  -0.2
red   rascals               185    9.03  0.524   9.65  0.00 |     93    7.64  0.602  10.62  0.02 | +0.078   1.2
red   mighty-miner          181    9.73  0.420   9.97  0.00 |    118    8.22  0.559  10.73  0.00 | +0.139   2.4
red   archer-queen          178    8.61  0.545  11.06  0.00 |    128    9.43  0.477  10.75  0.01 | -0.068  -1.2
red   furnace               177    9.03  0.435   6.98  0.00 |    152    9.33  0.461   7.46  0.01 | +0.025   0.5
red   freeze                168    8.87  0.512  22.55  1.00 |    165    8.71  0.576  22.48  0.99 | +0.064   1.2
red   wall-breakers         166    8.94  0.530  14.00  0.00 |    175    9.52  0.463  13.38  0.00 | -0.067  -1.2
red   tombstone             163    8.75  0.589   9.75  0.01 |    224    8.92  0.522   9.62  0.00 | -0.067  -1.3
red   vines                 162    8.13  0.586  21.80  0.99 |    187    8.97  0.497  21.85  0.99 | -0.089  -1.7
red   executioner           159    7.84  0.616  10.67  0.00 |     94    9.61  0.489   9.99  0.00 | -0.127  -2.0
red   skeleton-king         156    9.24  0.449  11.29  0.07 |     94    8.84  0.511   8.95  0.00 | +0.062   0.9
red   earthquake            156    8.95  0.500  21.71  0.99 |    134    8.66  0.545  21.90  0.99 | +0.045   0.8
red   tesla                 153    9.74  0.379  13.66  0.00 |     94    8.81  0.415  13.47  0.00 | +0.036   0.6
red   bandit                153    9.45  0.477  10.88  0.01 |    235    9.06  0.455  10.97  0.01 | -0.022  -0.4
red   suspicious-bush       148    7.74  0.588  12.80  0.00 |    102    9.06  0.490  14.11  0.00 | -0.098  -1.5
