hogeq: i=0 300 replays, i=1 274 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
red   lightning              90    8.58  0.544  21.93  0.94 |     93    7.85  0.624  21.69  0.94 | +0.079   1.1
red   dark-prince            88    9.02  0.523   8.35  0.05 |     85    8.14  0.576   7.54  0.00 | +0.054   0.7
red   graveyard              88   11.03  0.364  25.85  1.00 |     81    9.46  0.469  25.90  1.00 | +0.105   1.4
red   firecracker            88    9.53  0.455   9.24  0.01 |     84   10.06  0.381   9.36  0.00 | -0.074  -1.0
red   golden-knight          85   10.19  0.365  11.61  0.07 |     96   10.46  0.323  11.51  0.01 | -0.042  -0.6
red   goblin-gang            82   10.37  0.354  10.80  0.01 |     98    8.59  0.541  10.56  0.00 | +0.187   2.5
red   lumberjack             82    9.66  0.488  11.62  0.05 |     40    6.73  0.725  11.60  0.00 | +0.237   2.5
red   minions                79    8.69  0.494  10.47  0.04 |     91    9.58  0.495  10.39  0.05 | +0.001   0.0
red   archers                78    8.74  0.615   6.09  0.00 |    102    9.00  0.578   7.48  0.00 | -0.037  -0.5
red   goblin-drill           76    4.61  0.842  22.64  0.91 |     51    7.37  0.569  21.78  0.82 | -0.273  -3.4
red   skeleton-dragons       72    9.44  0.458   9.46  0.04 |     48   10.21  0.396   9.31  0.00 | -0.062  -0.7
red   mega-minion            67    9.49  0.463  10.04  0.07 |     52    8.21  0.577   8.13  0.00 | +0.114   1.2
red   freeze                 65   10.68  0.369  20.96  0.80 |     70    8.29  0.571  21.46  0.87 | +0.202   2.4
red   mega-knight            64    8.69  0.500   9.23  0.02 |     56    8.70  0.518  10.16  0.02 | +0.018   0.2
red   wizard                 64    9.53  0.406   7.45  0.02 |    122    9.38  0.459   7.16  0.01 | +0.053   0.7
red   hunter                 64    9.98  0.406   8.69  0.00 |     59    8.42  0.559   8.48  0.00 | +0.153   1.7
red   golem                  64    9.94  0.344   5.19  0.11 |     40    9.43  0.475   3.45  0.03 | +0.131   1.3
red   wall-breakers          63    9.96  0.444  14.37  0.03 |     74    8.08  0.581  14.04  0.01 | +0.137   1.6
red   fisherman              62    9.27  0.500   9.16  0.00 |     92    8.65  0.554   9.63  0.03 | +0.054   0.7
