hogeq: i=0 300 replays, i=1 207 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
red   lightning              90    8.58  0.544  21.93  0.94 |     72    7.92  0.597  21.32  0.92 | +0.053   0.7
red   dark-prince            88    9.02  0.523   8.35  0.05 |     58    7.72  0.603   7.09  0.00 | +0.081   1.0
red   firecracker            88    9.53  0.455   9.24  0.01 |     71   10.12  0.380  10.05  0.00 | -0.074  -0.9
red   graveyard              88   11.03  0.364  25.85  1.00 |     56   10.55  0.393  25.88  1.00 | +0.029   0.4
red   golden-knight          85   10.19  0.365  11.61  0.07 |     64   11.20  0.250  11.89  0.02 | -0.115  -1.5
red   goblin-gang            82   10.37  0.354  10.80  0.01 |     91    8.78  0.527  10.51  0.00 | +0.174   2.3
red   minions                79    8.69  0.494  10.47  0.04 |     55    9.35  0.491  11.25  0.09 | -0.003  -0.0
red   archers                78    8.74  0.615   6.09  0.00 |     81    9.06  0.568   7.46  0.00 | -0.047  -0.6
red   goblin-drill           76    4.61  0.842  22.64  0.91 |     41    7.88  0.512  21.44  0.80 | -0.330  -3.8
red   skeleton-dragons       72    9.44  0.458   9.46  0.04 |     34    9.26  0.471   9.35  0.00 | +0.012   0.1
red   mega-minion            67    9.49  0.463  10.04  0.07 |     36    8.67  0.528   7.14  0.00 | +0.065   0.6
red   freeze                 65   10.68  0.369  20.96  0.80 |     56    8.05  0.589  21.36  0.88 | +0.220   2.4
red   mega-knight            64    8.69  0.500   9.23  0.02 |     47    8.01  0.574  10.50  0.02 | +0.074   0.8
red   wizard                 64    9.53  0.406   7.45  0.02 |    100    9.26  0.470   7.60  0.01 | +0.064   0.8
red   hunter                 64    9.98  0.406   8.69  0.00 |     51    7.77  0.627   8.60  0.00 | +0.221   2.4
red   wall-breakers          63    9.96  0.444  14.37  0.03 |     63    8.63  0.524  13.96  0.02 | +0.079   0.9
red   fisherman              62    9.27  0.500   9.16  0.00 |     68    8.50  0.559   9.82  0.04 | +0.059   0.7
red   royal-hogs             61    9.30  0.492  14.58  0.02 |     81    7.44  0.642  14.57  0.01 | +0.150   1.8
red   pekka                  61    8.71  0.574   5.35  0.00 |     37    7.58  0.541   6.61  0.00 | -0.033  -0.3
red   goblin-hut             57    9.39  0.544  11.39  0.00 |     54    9.61  0.500  11.24  0.00 | -0.044  -0.5
red   witch                  54    7.83  0.704   6.50  0.02 |     42    9.48  0.357   5.02  0.00 | -0.347  -3.4
red   giant                  53    9.52  0.509  10.93  0.00 |     42    8.60  0.548  12.24  0.02 | +0.038   0.4
red   night-witch            51    8.99  0.431   4.56  0.02 |     54    7.44  0.574   5.19  0.02 | +0.143   1.5
red   archer-queen           49    9.36  0.571   7.95  0.02 |     35    8.30  0.686   8.64  0.06 | +0.114   1.1
red   executioner            46    8.54  0.478   7.91  0.00 |     34    9.41  0.382   6.88  0.00 | -0.096  -0.9
red   heal-spirit            44    9.32  0.500  13.75  0.07 |     41    7.74  0.512  12.16  0.00 | +0.012   0.1
red   mighty-miner           44   10.36  0.364  10.18  0.05 |     43   10.34  0.372   8.38  0.00 | +0.008   0.1
red   rage                   44    8.14  0.591  21.30  0.93 |     50    8.04  0.600  21.08  0.98 | +0.009   0.1
red   minion-horde           42    8.64  0.476  12.26  0.00 |     32    9.22  0.469  12.38  0.00 | -0.007  -0.1
red   bats                   42   10.21  0.452  12.10  0.02 |     65    8.52  0.523  11.32  0.02 | +0.071   0.7
red   rascals                37    9.58  0.541   9.74  0.00 |     46    8.74  0.543   8.35  0.00 | +0.003   0.0
red   goblin-cage            37   10.91  0.270  11.12  0.00 |     32    8.12  0.656  10.94  0.00 | +0.386   3.2
red   royal-giant            34   10.44  0.441   9.26  0.03 |     41    8.35  0.561   9.87  0.05 | +0.120   1.0
red   prince                 30    9.40  0.433   8.90  0.03 |     34    9.68  0.441   7.30  0.00 | +0.008   0.1
cards compared 89, |z|>3 on left-fraction: 7
sum |dLeft| rotation 7.672 vs mirror 7.873
